row_number,errors,data
1,"['Invalid phone number: 7332867654.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 251212.0, 'full_name': 'Shanaya Madan', 'email': 'ahana-vora@gmail.com', 'phone_number': 7332867654.0, 'city': 'Chennai', 'signup_date': '21-04-2023'}"
2,"['Invalid phone number: 8578396720.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 848133.0, 'full_name': 'Mannat Talwar', 'email': 'akarsh20@wason.com', 'phone_number': 8578396720.0, 'city': 'Pune', 'signup_date': '11-06-2024'}"
3,"['Invalid phone number: 7994838320.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 511492.0, 'full_name': 'Aaryahi Shenoy', 'email': 'rde@gola.info', 'phone_number': 7994838320.0, 'city': 'Chennai', 'signup_date': '02-06-2024'}"
4,"['Invalid phone number: 9834699453.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 128097.0, 'full_name': 'Jayesh Jha', 'email': 'urvi41@yahoo.com', 'phone_number': 9834699453.0, 'city': 'Kolkata', 'signup_date': '24-03-2025'}"
5,"['Invalid phone number: 7513076043.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 905038.0, 'full_name': 'Armaan Sarna', 'email': 'nishith98@chauhan.com', 'phone_number': 7513076043.0, 'city': 'Pune', 'signup_date': '07-07-2024'}"
6,"['Invalid phone number: 7982033579.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 541502.0, 'full_name': 'Ritvik Chatterjee', 'email': 'vsaha@kulkarni-comar.net', 'phone_number': 7982033579.0, 'city': 'Kolkata', 'signup_date': '16-11-2024'}"
7,"['Email is required', 'Invalid phone number: 8855091969.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 866511.0, 'full_name': 'Ayesha Shetty', 'email': '', 'phone_number': 8855091969.0, 'city': 'Chennai', 'signup_date': '31-10-2023'}"
8,"['Invalid phone number: 8215928685.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 512203.0, 'full_name': 'Tushar Rau', 'email': 'lmangat@yahoo.com', 'phone_number': 8215928685.0, 'city': 'Delhi', 'signup_date': '08-02-2024'}"
9,"['Email is required', 'Invalid phone number: 7518091323.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 553987.0, 'full_name': 'Samiha Gill', 'email': '', 'phone_number': 7518091323.0, 'city': 'Ahmedabad', 'signup_date': '05-04-2025'}"
10,"['Invalid phone number: 7802905101.0', 'Order ID is required', 'Invalid order amount', 'Product ID is required', 'Invalid quantity', 'Invalid unit price', 'Invalid payment mode: ', 'Invalid status: ']","{'customer_id': 209910.0, 'full_name': 'Priyansh Agrawal', 'email': 'routkartik@gmail.com', 'phone_number': 7802905101.0, 'city': 'Kolkata', 'signup_date': '24-11-2023'}"
